2022-12-07 16:13:59,124 fast_tiny_tt_512_finetune_ic17mlt.py INFO: {
    "model": {
        "type": "FAST",
        "backbone": {
            "type": "fast_backbone",
            "config": "config/fast/nas-configs/fast_tiny.config"
        },
        "neck": {
            "type": "fast_neck",
            "config": "config/fast/nas-configs/fast_tiny.config"
        },
        "detection_head": {
            "type": "fast_head",
            "config": "config/fast/nas-configs/fast_tiny.config",
            "pooling_size": 7,
            "dropout_ratio": 0.1,
            "loss_text": {
                "type": "DiceLoss",
                "loss_weight": 0.5
            },
            "loss_kernel": {
                "type": "DiceLoss",
                "loss_weight": 1.0
            },
            "loss_emb": {
                "type": "EmbLoss_v1",
                "feature_dim": 4,
                "loss_weight": 0.25
            }
        }
    },
    "repeat_times": 10,
    "data": {
        "batch_size": 16,
        "train": {
            "type": "FAST_TT",
            "split": "train",
            "is_transform": true,
            "img_size": 512,
            "short_size": 512,
            "pooling_size": 7,
            "read_type": "cv2",
            "repeat_times": 10
        },
        "test": {
            "type": "FAST_TT",
            "split": "test",
            "short_size": 512,
            "read_type": "pil"
        }
    },
    "train_cfg": {
        "lr": 0.001,
        "schedule": "polylr",
        "epoch": 30,
        "optimizer": "Adam",
        "pretrain": "checkpoints/fast_tiny_ic17mlt_640/checkpoint_30ep.pth.tar",
        "save_interval": 1
    },
    "test_cfg": {
        "min_score": 0.85,
        "min_area": 200,
        "bbox_type": "poly",
        "result_path": "outputs/submit_tt/"
    }
}
2022-12-07 16:13:59,125 fast_tiny_tt_512_finetune_ic17mlt.py INFO: Checkpoint path: checkpoints/fast_tiny_tt_512_finetune_ic17mlt.
2022-12-07 16:14:03,122 fast_tiny_tt_512_finetune_ic17mlt.py INFO: Finetuning from pretrained model checkpoints/fast_tiny_ic17mlt_640/checkpoint_30ep.pth.tar.
2022-12-07 16:14:03,322 fast_tiny_tt_512_finetune_ic17mlt.py INFO: loading ema pretrained weights!
2022-12-07 16:14:03,335 fast_tiny_tt_512_finetune_ic17mlt.py INFO: <All keys matched successfully>
2022-12-07 16:14:03,340 fast_tiny_tt_512_finetune_ic17mlt.py INFO: fast_tiny_tt_512_finetune_ic17mlt
2022-12-07 16:14:03,340 fast_tiny_tt_512_finetune_ic17mlt.py INFO: 
Epoch: [1 | 30]
2022-12-07 16:14:19,542 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (1/783) LR: 0.001000 | Batch: 16.201s | Total: 0min | ETA: 211min | Loss: 0.448 | Loss(text/kernel/emb/rec): 0.149/0.239/0.060/0.000 | IoU(text/kernel): 0.736/0.515 | Acc rec: 0.000
2022-12-07 16:14:21,366 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (11/783) LR: 0.001000 | Batch: 1.639s | Total: 0min | ETA: 21min | Loss: 0.384 | Loss(text/kernel/emb/rec): 0.130/0.181/0.073/0.000 | IoU(text/kernel): 0.742/0.520 | Acc rec: 0.000
2022-12-07 16:14:23,552 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (21/783) LR: 0.000999 | Batch: 0.962s | Total: 0min | ETA: 12min | Loss: 0.349 | Loss(text/kernel/emb/rec): 0.129/0.149/0.072/0.000 | IoU(text/kernel): 0.733/0.539 | Acc rec: 0.000
2022-12-07 16:14:25,720 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (31/783) LR: 0.000999 | Batch: 0.722s | Total: 0min | ETA: 9min | Loss: 0.333 | Loss(text/kernel/emb/rec): 0.123/0.140/0.070/0.000 | IoU(text/kernel): 0.742/0.554 | Acc rec: 0.000
2022-12-07 16:14:27,785 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (41/783) LR: 0.000998 | Batch: 0.596s | Total: 0min | ETA: 7min | Loss: 0.326 | Loss(text/kernel/emb/rec): 0.118/0.142/0.066/0.000 | IoU(text/kernel): 0.753/0.554 | Acc rec: 0.000
2022-12-07 16:14:29,837 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (51/783) LR: 0.000998 | Batch: 0.520s | Total: 0min | ETA: 6min | Loss: 0.321 | Loss(text/kernel/emb/rec): 0.118/0.139/0.065/0.000 | IoU(text/kernel): 0.753/0.553 | Acc rec: 0.000
2022-12-07 16:14:32,188 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (61/783) LR: 0.000998 | Batch: 0.473s | Total: 0min | ETA: 6min | Loss: 0.314 | Loss(text/kernel/emb/rec): 0.114/0.136/0.064/0.000 | IoU(text/kernel): 0.759/0.559 | Acc rec: 0.000
2022-12-07 16:14:34,270 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (71/783) LR: 0.000997 | Batch: 0.436s | Total: 1min | ETA: 5min | Loss: 0.311 | Loss(text/kernel/emb/rec): 0.114/0.133/0.063/0.000 | IoU(text/kernel): 0.758/0.560 | Acc rec: 0.000
2022-12-07 16:14:36,530 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (81/783) LR: 0.000997 | Batch: 0.410s | Total: 1min | ETA: 5min | Loss: 0.308 | Loss(text/kernel/emb/rec): 0.114/0.131/0.063/0.000 | IoU(text/kernel): 0.758/0.562 | Acc rec: 0.000
2022-12-07 16:14:38,728 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (91/783) LR: 0.000997 | Batch: 0.389s | Total: 1min | ETA: 4min | Loss: 0.302 | Loss(text/kernel/emb/rec): 0.112/0.129/0.062/0.000 | IoU(text/kernel): 0.761/0.565 | Acc rec: 0.000
2022-12-07 16:14:41,074 fast_tiny_tt_512_finetune_ic17mlt.py INFO: (101/783) LR: 0.000996 | Batch: 0.374s | Total: 1min | ETA: 4min | Loss: 0.299 | Loss(text/kernel/emb/rec): 0.110/0.127/0.062/0.000 | IoU(text/kernel): 0.765/0.566 | Acc rec: 0.000
